ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
89.76796	3288	0	139	162	127	3408	3043	2992
89.97479	3460	0	129	141	143	3531	2880	2910
90.18163	3423	1	167	149	142	3386	3029	2859
90.38847	3414	0	150	138	127	3394	2974	2881
90.59531	3347	0	138	162	143	3321	3009	2827
90.80215	3302	0	132	136	143	3461	3087	2910
91.00899	3158	0	153	141	132	3513	2788	2822
91.21583	3235	0	132	140	137	3505	2970	2842
91.42267	3203	1	117	133	150	3348	2911	2912
91.6295	3310	2	133	141	135	3413	2981	2846
91.83634	3334	1	117	132	129	3426	2888	2844
92.04318	3258	0	135	127	154	3369	3001	2792
92.2500153	3282	0	139	121	148	3475	2860	2788
92.4568558	3291	0	133	118	122	3340	2901	2767
92.6637	3279	0	116	139	139	3399	2911	2882
92.87054	3271	0	124	113	139	3479	2955	2875
93.07738	3245	0	123	133	129	3351	2893	2803
93.28421	3197	1	107	121	138	3373	2814	2791
93.49105	3230	0	102	125	126	3386	2797	2819
93.69789	3252	2	117	122	127	3343	2797	2810
93.9047241	3262	1	113	114	132	3364	2763	2791
94.1115646	3052	1	110	107	105	3266	2910	2795
94.3184052	3230	0	115	145	109	3424	2825	2702
94.5252457	3191	1	115	108	128	3346	2857	2743
94.7320862	3201	0	82	119	129	3289	2841	2891
94.93892	3159	1	102	135	140	3323	2882	2703
95.14576	3230	1	99	123	130	3173	2807	2724
95.3526	3261	0	124	110	116	3265	2768	2684
95.55943	3062	0	98	123	136	3345	2794	2693
95.76627	3136	1	115	132	107	3254	2710	2697
95.973114	3201	2	98	108	115	3119	2805	2770
